"","StandortID","KaboStatus","AktStandorttyp","x_200","y_200","Gemeinde","periode","p.dat","param_txt","einheit","WertOB","WertOB_tab","Klasse_OB","WertUB","WertUB_tab","Klasse_UB"
"93",6413,"NS","Wald",2691200,1277400,"Marthalen",2,2000-08-22,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"94",6413,"NS","Wald",2691200,1277400,"Marthalen",3,2005-09-14,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"95",6413,"NS","Wald",2691200,1277400,"Marthalen",4,2010-07-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"96",6413,"NS","Wald",2691200,1277400,"Marthalen",5,2015-07-01,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"97",6414,"NS","Wald",2692600,1276000,"Kleinandelfingen",1,1995-09-04,"Quecksilber","ppm",0.06,"0.06","0",0.04,"0.04","0"
"98",6414,"NS","Wald",2692600,1276000,"Kleinandelfingen",2,2000-07-26,"Quecksilber","ppm",0,"<0.15","-1",0.04,"0.04","0"
"99",6414,"NS","Wald",2692600,1276000,"Kleinandelfingen",3,2005-11-02,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"100",6414,"NS","Wald",2692600,1276000,"Kleinandelfingen",4,2010-07-08,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"101",6414,"NS","Wald",2692600,1276000,"Kleinandelfingen",5,2015-07-08,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"102",6415,"NS","Wald",2695200,1271200,"Andelfingen",1,1995-09-08,"Quecksilber","ppm",0.08,"0.08","0",NA,NA,NA
"103",6415,"NS","Wald",2695200,1271200,"Andelfingen",2,2000-07-26,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"104",6415,"NS","Wald",2695200,1271200,"Andelfingen",3,2005-11-09,"Quecksilber","ppm",0,"<0.15","-1",0.04,"0.04","0"
"105",6415,"NS","Wald",2695200,1271200,"Andelfingen",4,2010-07-08,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"106",6415,"NS","Wald",2695200,1271200,"Andelfingen",5,2015-07-09,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"107",6416,"NS","Wald",2694200,1274400,"Kleinandelfingen",1,1995-09-05,"Quecksilber","ppm",0.07,"0.07","0",0.05,"0.05","0"
"108",6416,"NS","Wald",2694200,1274400,"Kleinandelfingen",2,2000-07-25,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"109",6416,"NS","Wald",2694200,1274400,"Kleinandelfingen",3,2005-09-08,"Quecksilber","ppm",0,"<0.15","-1",0.05,"0.05","0"
"110",6416,"NS","Wald",2694200,1274400,"Kleinandelfingen",4,2010-06-30,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"111",6416,"NS","Wald",2694200,1274400,"Kleinandelfingen",5,2015-06-24,"Quecksilber","ppm",0,"<0.15","-1",0,"<0.15","-1"
"112",6417,"NS","Acker",2692600,1277400,"Trüllikon",1,1995-09-14,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"113",6417,"NS","Acker",2692600,1277400,"Trüllikon",2,2000-08-29,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"114",6417,"NS","Acker",2692600,1277400,"Trüllikon",3,2005-08-10,"Quecksilber","ppm",0.04,"0.04","0",NA,NA,NA
"115",6417,"NS","Acker",2692600,1277400,"Trüllikon",4,2010-03-24,"Quecksilber","ppm",0.03,"0.03","0",0,"<0.15","-1"
"116",6417,"NS","Acker",2692600,1277400,"Trüllikon",5,2015-04-23,"Quecksilber","ppm",0.03,"0.03","0",0.01,"0.01","0"
"117",6418,"NS","Acker",2696000,1268400,"Dägerlen",1,1995-09-13,"Quecksilber","ppm",0.15,"0.15","0",0.09,"0.09","0"
"118",6418,"NS","Acker",2696000,1268400,"Dägerlen",2,2000-08-15,"Quecksilber","ppm",0.14,"0.14","0",0.09,"0.09","0"
"119",6418,"NS","Acker",2696000,1268400,"Dägerlen",3,2005-05-19,"Quecksilber","ppm",0.15,"0.15","0",0.1,"0.1","0"
"120",6418,"NS","Acker",2696000,1268400,"Dägerlen",4,2010-03-31,"Quecksilber","ppm",0.14,"0.14","0",0,"<0.15","-1"
"121",6418,"NS","Acker",2696000,1268400,"Dägerlen",5,2015-03-11,"Quecksilber","ppm",0.14,"0.14","0",0.08,"0.08","0"
"122",6418,"NS","Acker",2696000,1268400,"Dägerlen",6,2024-04-04,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"123",6419,"NS","Acker",2697000,1271400,"Thalheim a.d.T",1,1995-09-14,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"124",6419,"NS","Acker",2697000,1271400,"Thalheim a.d.T",2,2000-10-25,"Quecksilber","ppm",0.03,"0.03","0",0.03,"0.03","0"
"125",6419,"NS","Acker",2697000,1271400,"Thalheim a.d.T",4,2010-03-25,"Quecksilber","ppm",0.04,"0.04","0",0.03,"0.03","0"
"126",6419,"NS","Acker",2697000,1271400,"Thalheim a.d.T",5,2015-03-12,"Quecksilber","ppm",0.03,"0.03","0",0.02,"0.02","0"
"127",6420,"NS","Acker",2696000,1275000,"Ossingen",1,1995-09-04,"Quecksilber","ppm",0,"<0.15","-1",NA,NA,NA
"128",6420,"NS","Acker",2696000,1275000,"Ossingen",2,2000-10-25,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"129",6420,"NS","Acker",2696000,1275000,"Ossingen",4,2010-03-25,"Quecksilber","ppm",0.04,"0.04","0",0.04,"0.04","0"
"130",6420,"NS","Acker",2696000,1275000,"Ossingen",5,2015-03-18,"Quecksilber","ppm",0.03,"0.03","0",0.04,"0.04","0"
"131",6421,"NS","Acker",2697200,1268400,"Dägerlen",1,1995-09-13,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"132",6421,"NS","Acker",2697200,1268400,"Dägerlen",2,2000-08-15,"Quecksilber","ppm",0.04,"0.04","0",NA,NA,NA
"133",6421,"NS","Acker",2697200,1268400,"Dägerlen",4,2010-04-15,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"134",6421,"NS","Acker",2697200,1268400,"Dägerlen",5,2015-03-17,"Quecksilber","ppm",0.04,"0.04","0",0.02,"0.02","0"
"135",6421,"NS","Acker",2697200,1268400,"Dägerlen",6,2024-03-14,"Quecksilber","ppm",NA,NA,NA,NA,NA,NA
"136",6422,"NS","Acker",2697200,1274600,"Ossingen",1,1995-09-05,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
"137",6422,"NS","Acker",2697200,1274600,"Ossingen",2,2000-10-25,"Quecksilber","ppm",0.03,"0.03","0",NA,NA,NA
