"","StandortID","x_200","y_200","Gemeinde"
"253",7285,2705600,1256600,"Zell"
"254",7286,2701000,1255600,"Weisslingen"
"255",7287,2699400,1251200,"Russikon"
"256",7288,2700200,1251000,"Russikon"
"257",7289,2703400,1251000,"Russikon"
"258",7290,2704600,1250200,"Pfäffikon"
"259",7292,2689400,1247400,"Fällanden"
"260",7293,2709400,1237200,"Dürnten"
"261",7294,2707800,1237200,"Dürnten"
"262",7295,2709800,1236000,"Rüti"
"263",7296,2713000,1237800,"Wald"
"264",7297,2712600,1239800,"Wald"
"265",7298,2709800,1240600,"Hinwil"
"266",7299,2676600,1260800,"Steinmaur"
"267",7300,2696200,1235200,"Männedorf"
"268",7301,2696200,1235000,"Männedorf"
"269",7302,2694800,1236800,"Uetikon a.S."
"270",7303,2681600,1250800,"Zürich"
"271",7304,2680000,1251600,"Zürich"
"272",7305,2699600,1235400,"Hombrechtikon"
"273",7306,2698000,1234000,"Stäfa"
"274",7307,2698200,1234600,"Stäfa"
"275",7308,2695800,1236000,"Männedorf"
"276",7309,2695400,1236400,"Männedorf"
"277",7310,2693000,1238600,"Meilen"
"278",7311,2692400,1239400,"Meilen"
"279",7312,2692200,1238400,"Meilen"
"280",7313,2691400,1240000,"Herrliberg"
"281",7314,2691800,1240600,"Herrliberg"
"282",7315,2699200,1235400,"Hombrechtikon"
"283",7316,2690400,1240600,"Küsnacht"
"284",7317,2689200,1240600,"Küsnacht"
"285",7318,2689000,1241600,"Küsnacht"
"286",7319,2688200,1241400,"Küsnacht"
"287",7320,2688400,1243400,"Zumikon"
"288",7321,2689600,1245000,"Zollikon"
"289",7322,2687600,1243200,"Zollikon"
"290",7323,2686800,1243000,"Zollikon"
"291",7324,2700000,1233600,"Hombrechtikon"
"292",7325,2700200,1234000,"Hombrechtikon"
"293",7326,2700400,1233800,"Hombrechtikon"
"294",7327,2699200,1234000,"Hombrechtikon"
"295",7328,2689600,1240000,"Herrliberg"
"296",7330,2689200,1244200,"Zollikon"
"297",7331,2689600,1244600,"Zollikon"
"298",7332,2691200,1244600,"Maur"
"299",7333,2697200,1235200,"Stäfa"
"300",7334,2693400,1237200,"Meilen"
"301",7335,2693200,1236800,"Meilen"
"302",7336,2692600,1237200,"Meilen"
"303",7337,2693800,1237000,"Uetikon a.S."
"304",7338,2690800,1237800,"Meilen"
"305",7339,2689400,1241400,"Küsnacht"
"306",7340,2692200,1237200,"Meilen"
"307",7341,2674000,1261000,"Schöfflisdorf"
"308",7342,2673200,1255000,"Dänikon"
"309",7343,2690600,1242000,"Küsnacht"
"310",7344,2693800,1238000,"Meilen"
"311",7345,2691400,1237600,"Meilen"
"312",7346,2692000,1238200,"Meilen"
"313",7347,2690400,1239400,"Herrliberg"
"314",7348,2689400,1239000,"Herrliberg"
"315",7349,2679600,1252400,"Zürich"
"316",7351,2680000,1252200,"Zürich"
"317",7352,2698800,1233600,"Stäfa"
"318",7353,2676200,1258600,"Dielsdorf"
"319",7354,2673400,1262600,"Schöfflisdorf"
"320",7355,2673000,1262800,"Oberweningen"
"321",7356,2688600,1242000,"Küsnacht"
"322",7357,2689800,1239400,"Herrliberg"
"323",7358,2689600,1238600,"Herrliberg"
"324",7359,2675200,1258600,"Dielsdorf"
"325",7360,2689800,1242400,"Zumikon"
"326",7361,2688600,1244400,"Zollikon"
"327",7362,2689000,1243800,"Zumikon"
"328",7363,2675800,1259200,"Regensberg"
"329",7364,2677200,1260800,"Steinmaur"
"330",7365,2676200,1261200,"Steinmaur"
"331",7366,2676000,1261400,"Steinmaur"
"332",7368,2674200,1261200,"Schöfflisdorf"
"333",7369,2690400,1242000,"Küsnacht"
"334",7370,2690200,1237400,"Meilen"
"335",7371,2689600,1240400,"Erlenbach"
"336",7372,2691600,1237200,"Meilen"
"337",7373,2691800,1237000,"Meilen"
"338",7374,2675400,1258000,"Dielsdorf"
"339",7375,2674200,1254400,"Dällikon"
"340",7376,2675600,1253800,"Dällikon"
"341",7378,2693600,1236600,"Uetikon a.S."
"342",7379,2694000,1237200,"Uetikon a.S."
"343",7380,2692200,1238800,"Meilen"
"344",7381,2677800,1252800,"Regensdorf"
"345",7382,2677000,1253000,"Regensdorf"
"346",7383,2675400,1251400,"Unterengstringen"
"347",7384,2687400,1244000,"Zollikon"
"348",7385,2687000,1244600,"Zollikon"
"349",7386,2671800,1262800,"Schleinikon"
"350",7387,2697600,1234800,"Stäfa"
"351",7388,2690400,1243800,"Zumikon"
"352",7389,2696600,1235400,"Stäfa"
"353",7390,2674200,1252400,"Weiningen"
"354",7391,2690000,1245200,"Maur"
"355",7393,2691600,1244000,"Maur"
"356",7394,2692400,1242600,"Maur"
"357",7396,2701800,1255600,"Zell"
"358",7397,2702400,1253400,"Weisslingen"
"359",7398,2701400,1250600,"Russikon"
"360",7399,2706400,1241400,"Hinwil"
"361",7400,2689600,1240400,"Erlenbach"
"362",7401,2689600,1238800,"Herrliberg"
"363",7402,2689200,1239400,"Herrliberg"
"364",7403,2690800,1241000,"Küsnacht"
"365",7404,2690800,1255400,"Bassersdorf"
"366",7405,2691200,1240200,"Herrliberg"
"367",7406,2678200,1231800,"Mettmenstetten"
"368",7407,2676600,1231000,"Knonau"
"369",7408,2673400,1235800,"Obfelden"
