StandortID;p.dat;periode;KaboStatus;AktStandorttyp;Parameter;Wert_plot_OB;Wert_tab_OB;Klasse_OB;Quelle_OB;Wert_plot_UB;Wert_tab_UB;Klasse_UB;Quelle_UB
6429;22.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;NA;NA;NA;NA
6429;15.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.01;0.01;0;vbbo
6429;19.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.01;0.01;0;vbbo
6430;27.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6430;10.08.2005;3;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6430;07.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6430;08.04.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6431;20.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.05;0.05;0;vbbo;NA;NA;NA;NA
6431;01.11.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.05;0.05;0;vbbo;NA;NA;NA;NA
6431;31.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6431;12.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6432;21.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6432;29.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6432;21.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6432;11.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6433;27.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;NA;NA;NA;NA
6433;18.10.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6433;10.08.2005;3;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6433;14.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0;<0.15;-1;xrf
6433;13.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6434;20.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;NA;NA;NA;NA
6434;15.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.05;0.05;0;vbbo
6434;31.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.05;0.05;0;vbbo
6434;09.09.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.05;0.05;0;vbbo
6435;13.09.1995;1;HS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6435;30.08.2000;2;HS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6435;06.04.2005;3;HS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0;<0.15;-1;xrf
6435;21.07.2010;4;HS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6435;04.11.2015;5;HS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6435;28.05.2020;6;HS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0;<0.15;-1;xrf
6436;13.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6436;26.07.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6436;21.07.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6436;17.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6437;14.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.05;0.05;0;vbbo;0.03;0.03;0;vbbo
6437;25.10.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6437;25.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6437;12.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.02;0.02;0;vbbo
6438;05.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0;<0.15;-1;xrf;0.03;0.03;0;vbbo
6438;02.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6438;25.03.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6438;18.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.03;0.03;0;vbbo
6439;14.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6439;20.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6439;14.04.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.04;0.04;0;vbbo
6439;19.03.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6440;08.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.04;0.04;0;vbbo;0.03;0.03;0;vbbo
6440;03.08.2000;2;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6440;04.08.2010;4;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6440;26.08.2015;5;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.03;0.03;0;vbbo;0.02;0.02;0;vbbo
6441;05.09.1995;1;NS;AckerGemüsebauSpez.kulturen;HGT_PPM;0.05;0.05;0;vbbo;NA;NA;NA;NA
